full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type
ayajansari/chatbot_rasa;https://github.com/ayajansari/chatbot_rasa;0;0;2024-02-28T09:19:44Z;2024-02-28T09:19:44Z;2024-02-28T09:19:44Z;main;ayajansari;79745454;User
kosgei-cr/chatbot;https://github.com/kosgei-cr/chatbot;0;0;2024-02-22T13:57:27Z;2024-02-22T13:57:27Z;2024-02-22T13:57:27Z;main;kosgei-cr;79512663;User
MeenakshiNandipati/RasaChatbot;https://github.com/MeenakshiNandipati/RasaChatbot;0;0;2024-02-08T13:45:00Z;2024-02-08T13:45:00Z;2024-02-08T13:45:00Z;main;MeenakshiNandipati;138672846;User
jiayi-xian/rasa_calm_chatbot;https://github.com/jiayi-xian/rasa_calm_chatbot;0;0;2024-01-31T23:47:49Z;2024-01-31T23:47:50Z;2024-01-31T23:47:50Z;main;jiayi-xian;65373037;User
shadealarbed/rasa_chatbot;https://github.com/shadealarbed/rasa_chatbot;0;0;2024-01-23T14:50:24Z;2024-01-23T14:50:24Z;2024-01-23T14:50:24Z;main;shadealarbed;82084137;User
AdarshAKJ/ChatBot-For-College-Website-Using-rasa-FrameWork;https://github.com/AdarshAKJ/ChatBot-For-College-Website-Using-rasa-FrameWork;0;0;2023-12-31T17:47:04Z;2024-02-14T09:07:28Z;2023-12-31T17:47:04Z;main;AdarshAKJ;108177882;User
SHINMIN7/RASA-chatbot;https://github.com/SHINMIN7/RASA-chatbot;0;0;2023-12-10T15:40:19Z;2023-12-10T15:40:19Z;2023-12-10T15:40:19Z;main;SHINMIN7;75729543;User
Nico20234/Telered_bot;https://github.com/Nico20234/Telered_bot;0;0;2023-11-17T14:49:53Z;2023-11-17T14:49:53Z;2023-11-17T14:49:53Z;main;Nico20234;132843632;User
traromal/RASA-CHATBOT-MALAYALAM;https://github.com/traromal/RASA-CHATBOT-MALAYALAM;0;0;2023-11-15T05:31:59Z;2023-11-15T05:32:00Z;2023-11-15T05:32:00Z;main;traromal;75684324;User
KomarajuKrishna/rasaChatbot;https://github.com/KomarajuKrishna/rasaChatbot;0;0;2023-11-01T08:57:05Z;2023-11-01T08:57:06Z;2023-11-01T08:57:05Z;main;KomarajuKrishna;144030112;User
W2AlharbiMe/sda-w1d1-hello-rasa;https://github.com/W2AlharbiMe/sda-w1d1-hello-rasa;0;0;2023-10-17T03:39:04Z;2023-10-17T03:39:05Z;2023-10-17T03:39:05Z;main;W2AlharbiMe;43024659;User
yashpratap914/RASA_EMAIL_CHATBOT;https://github.com/yashpratap914/RASA_EMAIL_CHATBOT;0;0;2023-10-05T17:30:49Z;2023-10-05T17:30:49Z;2023-10-05T17:30:49Z;main;yashpratap914;122447300;User
atharv441/chatbot_rasa;https://github.com/atharv441/chatbot_rasa;0;0;2023-09-30T17:49:06Z;2023-09-30T17:49:07Z;2023-09-30T17:49:07Z;main;atharv441;119008433;User
pvanand09/rasa-chatbot;https://github.com/pvanand09/rasa-chatbot;0;0;2023-09-28T10:46:56Z;2023-09-28T10:46:57Z;2023-09-28T10:46:57Z;main;pvanand09;145796407;User
Subhan-Zaheer/Legal_Assistant_Chatbot_usingRASA;https://github.com/Subhan-Zaheer/Legal_Assistant_Chatbot_usingRASA;0;0;2023-09-20T19:17:53Z;2023-09-20T19:17:53Z;2023-09-20T19:17:53Z;main;Subhan-Zaheer;89686099;User
Darshanamakode/the-rasa-chatbot;https://github.com/Darshanamakode/the-rasa-chatbot;0;0;2023-09-08T04:54:56Z;2023-09-08T04:54:57Z;2023-09-08T04:54:57Z;main;Darshanamakode;106524353;User
SarahKaren4/rasa-chatbot;https://github.com/SarahKaren4/rasa-chatbot;0;0;2023-08-21T09:03:51Z;2023-08-21T09:03:52Z;2023-08-21T09:03:52Z;main;SarahKaren4;45682031;User
GuanghuiMin/Rasa_Fin_Faq;https://github.com/GuanghuiMin/Rasa_Fin_Faq;0;0;2023-08-16T12:18:15Z;2023-08-16T12:18:15Z;2023-08-16T12:18:15Z;main;GuanghuiMin;31447531;User
tusharsharma13620/chatbot;https://github.com/tusharsharma13620/chatbot;0;0;2023-08-14T09:00:53Z;2023-08-14T09:00:53Z;2023-08-14T09:00:53Z;main;tusharsharma13620;101060853;User
bedirachit/chatbotRasa;https://github.com/bedirachit/chatbotRasa;0;0;2023-08-09T05:13:02Z;2023-08-09T05:13:02Z;2023-08-09T05:13:02Z;main;bedirachit;32267050;User
geethango/chatbot_rasa;https://github.com/geethango/chatbot_rasa;0;0;2023-08-02T08:16:52Z;2023-08-02T08:16:52Z;2023-08-02T08:16:52Z;main;geethango;78137069;User
SkMamtajuddin/rasa-chatbot-travel;https://github.com/SkMamtajuddin/rasa-chatbot-travel;0;0;2023-07-24T00:58:32Z;2023-07-24T00:58:32Z;2023-07-24T00:58:32Z;main;SkMamtajuddin;3282639;User
mehalg/Netlfix-Chatbot-RASA;https://github.com/mehalg/Netlfix-Chatbot-RASA;0;0;2023-07-23T11:04:18Z;2023-07-23T11:04:18Z;2023-07-23T11:04:18Z;main;mehalg;97086706;User
TELLILIEya/chatbot_with_rasa;https://github.com/TELLILIEya/chatbot_with_rasa;0;0;2023-07-15T08:45:41Z;2023-07-15T08:49:52Z;2023-07-15T08:45:42Z;main;TELLILIEya;100238950;User
Sinan1997/US-Chatbot-Rasa;https://github.com/Sinan1997/US-Chatbot-Rasa;0;0;2023-07-10T08:53:54Z;2023-07-10T08:53:54Z;2023-07-10T08:53:54Z;main;Sinan1997;82833395;User
harshan3/RasaChatbot3;https://github.com/harshan3/RasaChatbot3;0;0;2023-07-01T02:05:53Z;2023-07-01T02:05:54Z;2023-07-01T02:05:54Z;main;harshan3;31043586;User
harshan3/RasaChatbot;https://github.com/harshan3/RasaChatbot;0;0;2023-06-29T13:14:19Z;2023-06-29T13:14:19Z;2023-06-29T13:14:19Z;main;harshan3;31043586;User
trung08052001-hcm/ChatbotAiRasa;https://github.com/trung08052001-hcm/ChatbotAiRasa;0;0;2023-06-27T06:59:35Z;2023-06-27T06:59:36Z;2023-06-27T06:59:36Z;main;trung08052001-hcm;110911150;User
