id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
guptatanmay8/rasa-restaurant-chatbot-guptatanmay8__.;guptatanmay8/rasa-restaurant-chatbot-guptatanmay8;https://github.com/guptatanmay8/rasa-restaurant-chatbot-guptatanmay8;0;0;2021-05-10T14:16:21Z;2021-07-15T21:34:31Z;2021-05-11T15:29:10Z;main;guptatanmay8;58387084;User;2efcdf2dc5a233221f54adcdb6066efa74a46ddc;2021-05-11T15:27:37Z;.;['domain.yml'];1;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1;[]
guptatanmay8/rasa-restaurant-chatbot-guptatanmay8__tmp4w7a3wv8/core;guptatanmay8/rasa-restaurant-chatbot-guptatanmay8;https://github.com/guptatanmay8/rasa-restaurant-chatbot-guptatanmay8;0;0;2021-05-10T14:16:21Z;2021-07-15T21:34:31Z;2021-05-11T15:29:10Z;main;guptatanmay8;58387084;User;2efcdf2dc5a233221f54adcdb6066efa74a46ddc;2021-05-11T15:27:37Z;tmp4w7a3wv8/core;['tmp4w7a3wv8/core/domain.yml'];1;[];0;[];0;['README.md'];1;['tmp4w7a3wv8/nlu/metadata.json'];1;[]
guptatanmay8/rasa-restaurant-chatbot-guptatanmay8__tmpaup0zuyg/core;guptatanmay8/rasa-restaurant-chatbot-guptatanmay8;https://github.com/guptatanmay8/rasa-restaurant-chatbot-guptatanmay8;0;0;2021-05-10T14:16:21Z;2021-07-15T21:34:31Z;2021-05-11T15:29:10Z;main;guptatanmay8;58387084;User;2efcdf2dc5a233221f54adcdb6066efa74a46ddc;2021-05-11T15:27:37Z;tmpaup0zuyg/core;['tmpaup0zuyg/core/domain.yml'];1;[];0;[];0;['README.md'];1;['tmpaup0zuyg/nlu/metadata.json', 'tmpaup0zuyg/nlu/nlu/metadata.json'];2;[]
Nakul9/Rasa_chatbot_Nakul_chitkara__.;Nakul9/Rasa_chatbot_Nakul_chitkara;https://github.com/Nakul9/Rasa_chatbot_Nakul_chitkara;0;0;2021-05-02T13:54:18Z;2021-05-02T14:10:34Z;2021-05-02T14:10:32Z;main;Nakul9;59168676;User;18fd4eed86804933201f1b953d4b7799275e18cc;2021-05-02T14:09:35Z;.;['domain.yml'];1;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1;[]
Nakul9/Rasa_chatbot_Nakul_chitkara__models/core;Nakul9/Rasa_chatbot_Nakul_chitkara;https://github.com/Nakul9/Rasa_chatbot_Nakul_chitkara;0;0;2021-05-02T13:54:18Z;2021-05-02T14:10:34Z;2021-05-02T14:10:32Z;main;Nakul9;59168676;User;18fd4eed86804933201f1b953d4b7799275e18cc;2021-05-02T14:09:35Z;models/core;['models/core/domain.yml'];1;[];0;[];0;['README.md'];1;[];0;[]
AkshajGrover4/ChatBot-Rasa__.;AkshajGrover4/ChatBot-Rasa;https://github.com/AkshajGrover4/ChatBot-Rasa;0;0;2021-05-02T11:50:23Z;2021-05-02T11:53:45Z;2021-05-02T11:53:02Z;main;AkshajGrover4;76028716;User;5861942ee62af4f812851dac3f31a85dc1a1fc99;2021-05-02T11:53:02Z;.;['domain.yml'];1;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1;[]
AkshajGrover4/ChatBot-Rasa__models/core;AkshajGrover4/ChatBot-Rasa;https://github.com/AkshajGrover4/ChatBot-Rasa;0;0;2021-05-02T11:50:23Z;2021-05-02T11:53:45Z;2021-05-02T11:53:02Z;main;AkshajGrover4;76028716;User;5861942ee62af4f812851dac3f31a85dc1a1fc99;2021-05-02T11:53:02Z;models/core;['models/core/domain.yml'];1;[];0;[];0;['README.md'];1;[];0;[]
shirinhar/chatbot-comparison__conversion/converted_files;shirinhar/chatbot-comparison;https://github.com/shirinhar/chatbot-comparison;2;0;2021-04-08T14:42:18Z;2022-12-20T02:32:18Z;2021-05-01T17:01:46Z;main;shirinhar;32335494;User;0baa62a842f56484aaf821884f1d1d32aa64a185;2021-05-01T17:01:46Z;conversion/converted_files;['conversion/converted_files/domain.yml'];1;['conversion/converted_files/data/nlu.md'];1;[];0;['README.md'];1;[];0;[]
shirinhar/chatbot-comparison__rasa-bot;shirinhar/chatbot-comparison;https://github.com/shirinhar/chatbot-comparison;2;0;2021-04-08T14:42:18Z;2022-12-20T02:32:18Z;2021-05-01T17:01:46Z;main;shirinhar;32335494;User;0baa62a842f56484aaf821884f1d1d32aa64a185;2021-05-01T17:01:46Z;rasa-bot;['rasa-bot/domain.yml'];1;['rasa-bot/data/nlu.md', 'rasa-bot/data/nlu_converted.yml'];2;['rasa-bot/actions/actions.py'];1;['README.md', 'database/README.md', 'deeppavlov-bot/README.md', 'dialogflow-bot/README.md', 'wayscript/README.md'];5;['rasa-bot/config.yml'];1;[]
aniketpoojari/Food-Chatbot-Using-RASA__.;aniketpoojari/Food-Chatbot-Using-RASA;https://github.com/aniketpoojari/Food-Chatbot-Using-RASA;0;0;2021-03-09T18:10:00Z;2021-04-29T10:33:26Z;2021-04-29T10:33:23Z;master;aniketpoojari;37501997;User;cb816f8e05263b0f739abfea6de8dd02737f846f;2021-04-29T10:32:56Z;.;['domain.yml'];1;['data/nlu_data.md'];1;['actions.py'];1;['README.md'];1;['nlu_config.yml'];1;[]
aniketpoojari/Food-Chatbot-Using-RASA__models/current/dialogue;aniketpoojari/Food-Chatbot-Using-RASA;https://github.com/aniketpoojari/Food-Chatbot-Using-RASA;0;0;2021-03-09T18:10:00Z;2021-04-29T10:33:26Z;2021-04-29T10:33:23Z;master;aniketpoojari;37501997;User;cb816f8e05263b0f739abfea6de8dd02737f846f;2021-04-29T10:32:56Z;models/current/dialogue;['models/current/dialogue/domain.yml'];1;[];0;[];0;['README.md'];1;[];0;[]
amosproj/2017ws01-conversational-chat-bot__workstreambot/kanban;amosproj/2017ws01-conversational-chat-bot;https://github.com/amosproj/2017ws01-conversational-chat-bot;0;0;2021-04-23T19:13:23Z;2021-06-29T20:16:20Z;2021-04-23T19:13:41Z;master;amosproj;80108293;Organization;dacb7fed3e9fad3cafc67870ce484c07e0dacfbc;2018-02-14T12:43:12Z;workstreambot/kanban;['workstreambot/kanban/domain.yml'];1;[];0;[];0;['README.md'];1;[];0;['.travis.yml', 'workstreambot/nlu_model_config.json', 'workstreambot/README.md']
amosproj/2017ws01-conversational-chat-bot__workstreambot/scrum;amosproj/2017ws01-conversational-chat-bot;https://github.com/amosproj/2017ws01-conversational-chat-bot;0;0;2021-04-23T19:13:23Z;2021-06-29T20:16:20Z;2021-04-23T19:13:41Z;master;amosproj;80108293;Organization;dacb7fed3e9fad3cafc67870ce484c07e0dacfbc;2018-02-14T12:43:12Z;workstreambot/scrum;['workstreambot/scrum/domain.yml'];1;[];0;[];0;['README.md'];1;[];0;[]
